Timestamp,Electric Demand (Student 010 > Electric Meter) [(kWh)],Outdoor Dew Point (Student 010 > Weather Station) [(deg. F)],Outdoor Temperature (Student 010 > Weather Station) [(deg. F)],Optimal Electric Demand kWh (Student 010 > Electric Meter) [(kWh)]
02/08/2016 21:59:59,79.95200048,3.02000125,14.00000275,73.16000317
02/09/2016 01:59:59,109.8399762,4.9999985,12.92,95.30998419
02/09/2016 05:59:59,155.4879968,3.02000275,19.93999725,138.6799964
02/09/2016 09:59:59,162.0799959,1.9400015,24.97999875,140.3699981
02/09/2016 13:59:59,133.624011,1.04000125,19.94000275,110.3700191
02/09/2016 20:47:59,81.80800137,1.04,15.08,77.53000717
02/10/2016 00:47:59,90.18878354,-2.5239967,9.3560033,82.7459893
02/10/2016 04:47:59,151.6711936,-3.1360018,11.2279934,134.0999862
02/10/2016 08:47:59,160.0551951,3.02,21.92,138.9379986
02/10/2016 12:47:59,138.4744171,8.7799985,23,127.1840145
02/10/2016 16:47:59,94.9520161,10.7599985,21.02,85.0700075
02/10/2016 20:47:59,82.02640645,15.98,23,73.91200793
02/11/2016 00:47:59,94.00717899,20.6239967,23.8639982,80.36598613
02/11/2016 04:47:59,147.8263991,26.1679934,29.2279934,133.0619907
02/11/2016 08:47:59,145.8312022,32,33.98,135.9019979
02/11/2016 12:47:59,128.6432098,34.8439982,35.06,130.134013
02/11/2016 16:47:59,88.57362301,35.2400015,35.96,81.64800948
02/11/2016 20:47:59,75.60879857,32.2160018,34.1960018,68.75400703
02/12/2016 00:47:59,83.14078134,32,33.2600015,79.91598697
02/12/2016 04:47:59,140.0808043,30.02,33.98,133.7539939
02/12/2016 08:47:59,160.8519988,21.92,35.06,138.7060008
02/12/2016 12:47:59,143.1288208,24.98,37.94,124.38002
02/12/2016 16:47:59,97.48081474,23,33.4760033,81.40600505
02/12/2016 20:47:59,88.28240475,21.02,26.96,69.91400603
02/13/2016 00:47:59,83.44640015,21.2000015,26.2400015,65.75999917
02/13/2016 04:47:59,92.97280691,24.7999985,31.6039967,76.80799432
02/13/2016 08:47:59,101.9263974,23,35.06,77.61600722
02/13/2016 12:47:59,82.7040035,28.94,30.7399985,64.08999925
02/13/2016 16:47:59,82.88960008,28.04,30.02,62.90999875
02/13/2016 20:47:59,81.70639975,24.98,30.92,68.16800215
02/14/2016 00:47:59,89.05679777,14.6120051,25.3760033,68.3019991
02/14/2016 04:47:59,81.21280097,12.02,24.5839967,70.93599622
02/14/2016 08:47:59,81.38799823,10.04,30.02,73.77400187
02/14/2016 12:47:59,83.63119606,8.7799985,30.2000015,72.23200093
02/14/2016 16:47:59,88.26799843,8.411999267,26.06,73.12399828
02/14/2016 20:47:59,87.45840162,8.2400015,22.41600347,75.02000308
02/15/2016 00:47:59,90.10159571,-1.6239967,16.1960018,84.59199052
02/15/2016 04:47:59,101.3784024,-4,16.6639967,134.0899797
02/15/2016 08:47:59,106.0919985,-2.02,28.04,140.6760013
02/15/2016 12:47:59,104.7984051,-2.92,28.94,120.8660211
02/15/2016 16:47:59,90.66801557,-3.3520036,22.3520036,84.2640037
02/15/2016 20:47:59,85.9080029,1.94,12.02,75.37200702
02/16/2016 00:47:59,92.41278604,5.6479964,15.3679949,83.02198668
02/16/2016 04:47:59,145.9407967,10.1479934,21.5239967,133.1759835
02/16/2016 11:35:59,141.0064104,34.3759923,36.3559923,136.4140052
02/16/2016 15:35:59,101.4984294,24.61999825,28.94,90.99202086
